STATE,ST_CASE,PEDS,PERNOTMVIT,PERMVIT,VE_TOTAL,CITY,FullDate,DAY_WEEK,FullTime,NHS,ROUTE,TWAY_ID,LGT_COND,WEATHER,ArrivalAtScene,ArrivalAtHosp,DRUNK_DR,FATALS
51,510115,1,1,1,1,0,04-03-2015,4,06:23:00,0,2,US-29,3,2,06:27:00,06:43:00,0,1
51,510116,0,0,2,2,0,22-03-2015,1,00:36:00,0,4,CR-822,2,10,01:10:00,01:58:00,2,1
51,510117,0,0,3,2,0,18-03-2015,4,11:28:00,0,4,CR-613,1,10,13:20:00,13:38:00,0,1
51,510118,0,0,1,1,0,23-03-2015,2,12:15:00,0,4,CR-629,1,10,99:99:00,99:99:00,0,1
51,510119,0,0,1,1,0,23-03-2015,2,10:39:00,0,4,CR-602,1,10,10:55:00,11:55:00,0,1
51,510120,0,0,1,1,0,25-03-2015,4,15:56:00,0,4,CR-670,1,10,15:59:00,88:88:00,0,1
51,510121,0,0,1,1,0,24-03-2015,3,18:35:00,0,4,CR-197,5,10,99:99:00,99:99:00,1,1
51,510122,0,0,1,1,2540,23-03-2015,2,18:47:00,0,6,LONDOUN BRIDGE RD,1,10,18:53:00,19:16:00,1,1
51,510123,0,0,1,1,0,29-03-2015,1,01:20:00,0,3,SR-311,2,10,99:99:00,88:88:00,1,1
51,510124,0,0,6,4,2100,31-01-2015,7,02:33:00,0,2,US-11,3,10,02:54:00,03:26:00,2,3
51,510125,0,0,1,1,0,17-03-2015,3,12:23:00,0,4,CR-1107,1,10,12:24:00,12:57:00,1,1
51,510126,1,1,1,1,468,26-03-2015,5,20:13:00,0,3,SR-246,3,10,20:15:00,20:31:00,0,1
51,510127,0,0,1,1,0,01-04-2015,4,13:15:00,0,4,CR-606,1,10,13:30:00,88:88:00,0,1
51,510128,0,0,1,1,0,01-04-2015,4,10:50:00,0,4,CR-624,1,10,99:99:00,88:88:00,1,1
51,510129,1,1,1,1,0,31-03-2015,3,03:07:00,0,2,US-13,2,10,99:99:00,88:88:00,0,1
51,510130,0,0,3,3,0,03-04-2015,6,20:30:00,0,3,SR-120,3,10,22:43:00,23:03:00,1,1
51,510131,0,0,3,3,1760,02-04-2015,5,05:51:00,1,1,I-64,3,10,99:99:00,99:99:00,1,1
51,510132,0,0,2,2,0,30-03-2015,2,23:15:00,1,1,I-81,2,10,99:99:00,99:99:00,0,1
51,510133,0,0,1,1,0,03-04-2015,6,14:57:00,0,2,US-29,1,2,15:06:00,15:40:00,0,1
51,510134,0,0,2,2,0,07-02-2015,7,19:03:00,0,2,US-60,2,10,19:18:00,19:55:00,2,1
51,510135,0,0,1,1,0,03-04-2015,6,01:52:00,0,3,SR-30,2,10,03:29:00,88:88:00,0,1
51,510136,0,0,4,4,0,06-04-2015,2,13:07:00,0,3,SR-288,1,10,13:15:00,88:88:00,1,1
51,510137,0,0,1,1,2540,07-04-2015,3,06:10:00,1,1,I-64,4,10,06:25:00,88:88:00,1,1
51,510138,1,1,1,1,0,07-04-2015,3,21:02:00,0,6,GREYSTONE DR,3,10,99:99:00,99:99:00,0,1
51,510139,0,0,3,2,2540,05-04-2015,1,14:29:00,0,6,PRINCESS ANNE RD,1,10,99:99:00,99:99:00,1,1
51,510140,0,0,2,2,0,07-04-2015,3,05:53:00,1,1,I-64,2,2,06:10:00,06:31:00,0,1
51,510141,0,0,1,1,0,10-04-2015,6,16:47:00,1,1,I-81,1,2,17:07:00,18:45:00,0,1
51,510142,0,0,1,1,0,12-04-2015,1,00:00:00,0,4,CR-405,2,10,00:23:00,01:04:00,1,1
51,510143,0,0,3,3,40,09-04-2015,5,21:59:00,1,1,I-395 HOV,3,2,22:01:00,22:23:00,1,2
51,510144,0,0,2,2,2060,12-04-2015,1,14:18:00,1,1,I-95,1,10,14:29:00,15:15:00,1,1
51,510145,0,0,5,1,0,11-04-2015,7,02:11:00,0,4,CR-723,2,10,02:34:00,04:41:00,1,1
51,510146,0,0,2,3,2060,13-04-2015,2,14:45:00,0,6,GROVE RD,1,10,14:49:00,15:37:00,1,1
51,510147,0,0,2,2,0,13-04-2015,2,14:48:00,0,4,CR-628,1,10,99:99:00,99:99:00,1,1
51,510148,0,0,2,2,0,11-04-2015,7,16:30:00,0,3,SR-49,1,10,99:99:00,88:88:00,0,1
51,510149,0,0,1,1,0,13-04-2015,2,02:10:00,0,4,CR-1438,2,10,99:99:00,88:88:00,1,1
51,510150,0,0,1,1,0,07-04-2015,3,09:32:00,0,4,CR-600,1,10,10:15:00,11:08:00,0,1
51,510151,0,0,5,1,0,12-04-2015,1,15:55:00,0,4,CR-730,1,10,16:33:00,17:45:00,0,1
51,510152,0,0,1,1,0,14-04-2015,3,16:45:00,0,3,SR-57,1,2,99:99:00,99:99:00,0,1
51,510153,0,0,3,3,0,12-04-2015,1,15:00:00,0,4,CR-628,1,10,15:10:00,15:35:00,0,1
51,510154,0,0,1,1,0,16-04-2015,5,14:35:00,0,2,US-601,1,10,99:99:00,88:88:00,0,1
51,510155,0,0,7,2,0,14-04-2015,3,10:15:00,0,4,CR-600,1,2,10:34:00,11:19:00,0,1
51,510156,0,0,2,2,0,15-04-2015,4,15:15:00,0,2,US-60,1,2,15:45:00,99:99:00,0,1
51,510157,0,0,2,2,1760,15-04-2015,4,06:45:00,1,1,I-64,1,10,06:59:00,88:88:00,0,1
51,510158,0,0,1,1,2540,15-04-2015,4,22:29:00,0,6,LONDON BRIDGE RD,3,10,99:99:00,88:88:00,1,1
51,510159,0,0,2,1,0,19-04-2015,1,17:31:00,0,4,CR-750,1,2,17:42:00,18:31:00,0,1
51,510160,0,0,4,2,0,20-04-2015,2,18:11:00,1,2,US-250,1,10,18:21:00,99:99:00,2,2
51,510161,0,0,2,1,0,18-04-2015,7,15:39:00,0,2,US-360,1,10,15:55:00,99:99:00,0,1
51,510162,0,0,1,1,0,18-04-2015,7,06:09:00,0,4,CR-696,2,10,99:99:00,88:88:00,1,1
51,510163,0,0,1,1,0,20-04-2015,2,13:20:00,0,4,CR-622,1,10,99:99:00,99:99:00,0,1
51,510164,0,0,1,1,0,22-04-2015,4,19:50:00,1,1,I-64,5,10,20:06:00,88:88:00,0,1
51,510165,0,0,6,2,0,19-04-2015,1,15:40:00,0,2,US-501,1,2,15:59:00,16:35:00,0,2
51,510166,0,0,2,2,0,24-04-2015,6,16:30:00,0,4,CR-670,1,10,16:51:00,99:99:00,2,1
51,510167,0,0,1,1,720,25-04-2015,7,03:05:00,1,2,US-29,3,10,99:99:00,99:99:00,1,1
51,510168,0,0,2,2,0,24-04-2015,6,17:09:00,0,2,US-15,1,10,17:27:00,18:08:00,0,1
51,510169,0,0,1,1,0,27-04-2015,2,13:20:00,0,2,US-60,1,10,99:99:00,88:88:00,0,1
51,510170,0,0,2,1,0,17-04-2015,6,23:25:00,0,4,CR-609,2,10,23:40:00,99:99:00,1,1
51,510171,0,0,7,7,0,11-03-2015,4,09:16:00,1,1,I-64,1,2,09:24:00,10:20:00,0,1
51,510172,0,3,1,3,0,25-03-2015,4,13:00:00,0,2,US-19,1,10,13:02:00,14:50:00,0,1
51,510173,0,0,2,2,2390,28-04-2015,3,06:27:00,1,2,US-32,1,10,06:42:00,07:42:00,0,2
51,510174,0,0,2,2,0,28-04-2015,3,16:05:00,0,4,CR-695,1,10,16:07:00,99:99:00,0,1
51,510175,1,1,1,1,0,19-02-2015,5,18:45:00,0,4,CR-662,3,10,18:48:00,19:10:00,0,1
51,510176,0,0,1,1,0,28-04-2015,3,02:25:00,1,2,US-340,3,10,02:34:00,88:88:00,0,1
51,510177,0,0,5,2,2540,12-04-2015,1,02:30:00,0,3,SR-403,3,10,03:30:00,04:04:00,2,1
51,510178,0,0,2,2,0,01-05-2015,6,21:05:00,0,3,SR-123,3,10,21:15:00,21:50:00,0,1
51,510179,0,0,1,1,0,02-05-2015,7,08:34:00,0,2,US-58,1,10,08:58:00,09:38:00,0,1
51,510180,0,0,3,2,0,02-05-2015,7,09:36:00,0,4,CR-600,1,10,09:44:00,99:99:00,0,1
51,510181,0,0,1,1,0,02-05-2015,7,21:45:00,0,3,SR-40,2,10,99:99:00,88:88:00,1,1
