STATE,ST_CASE,PVE_FORMS,VEH_NO,PFIRE,PDEATHS,CrashDate,CrashTime,PMAN_COLL,PNUMOCCS,PTYPE,PHIT_RUN,PMODEL,PMODYEAR,PGVWR,PV_CONFIG,PHAZ_INV,PVEH_SEV,PTOWED
5,50413,1,9,0,0,06-Nov,01:58:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,472,2008,0,Not_Applicable,No,Disabling_Damage,Not_Towed
5,50413,1,10,0,0,06-Nov,01:58:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,472,2006,0,Not_Applicable,No,Disabling_Damage,Not_Towed
5,50413,1,11,0,0,06-Nov,01:58:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,472,2009,0,Not_Applicable,No,Disabling_Damage,Not_Towed
5,50413,1,12,0,0,06-Nov,01:58:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,481,2010,0,Not_Applicable,No,Disabling_Damage,Not_Towed
5,50451,1,2,0,0,30-Nov,19:57:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,481,1973,0,Not_Applicable,No,Minor_Damage,Towed_Not_Due_to_Disabling_Damage
5,50480,1,2,0,0,29-Dec,16:55:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,999,9999,0,Not_Applicable,No,Minor_Damage,Not_Towed
6,60067,1,2,0,0,13-Jan,06:10:00,Not_Collision_with_Motor_Vehicle_in_Transport,1,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,981,2010,2,"Bus_(Seats_for_More_Than_Single-Unit_Truck_(2_axles_and_GVWR_more_than_1Not_Applicable,Not_ApplicableNot_ApplicableNot_Applicable_lbs.)Truck_Tractor_Occupants,_Including_Driver)",No,Functional_Damage,Not_Towed
6,60090,1,2,0,0,15-Jan,13:50:00,Not_Collision_with_Motor_Vehicle_in_Transport,1,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,881,2000,3,"Single-Unit_Truck_(2_axles_and_GVWR_more_than_1Not_Applicable,Not_ApplicableNot_ApplicableNot_Applicable_lbs.)",No,Disabling_Damage,Towed_Due_to_Disabling_Damage
6,60098,1,2,0,0,21-Jan,17:50:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,31,2001,0,Not_Applicable,No,Minor_Damage,Not_Towed
6,60100,1,2,0,0,17-Jan,07:05:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,890,2014,2,Single-Unit_Truck_(3_or_More_axles),No,Functional_Damage,Towed_Not_Due_to_Disabling_Damage
