STATE,ST_CASE,PVE_FORMS,VEH_NO,CrashDate,CrashTime,PMAN_COLL,PNUMOCCS,PTYPE,PHIT_RUN,PMODEL,PMODYEAR,PGVWR,PV_CONFIG,PHAZ_INV,PHAZ_ID,PVEH_SEV,PTOWED,PFIRE,PDEATHS
6,61357,1,2,23-May,15:30,0,0,2,0,35,1999,0,0,1,0,4,5,0,0
6,61357,1,3,23-May,15:30,0,0,2,0,403,2005,0,0,1,0,2,5,0,0
6,61369,1,2,19-Apr,02:50,0,0,2,0,401,2003,0,0,1,0,4,3,0,0
6,61369,1,3,19-Apr,02:50,0,0,2,0,32,2014,0,0,1,0,2,5,0,0
6,61376,1,2,13-Jun,06:20,0,2,2,0,31,2015,0,0,1,0,6,2,0,1
6,61376,1,3,13-Jun,06:20,0,2,2,0,481,2002,0,0,1,0,6,2,0,0
6,61391,1,2,08-Aug,02:45,0,0,3,0,471,2004,0,0,1,0,6,5,0,0
6,61394,1,2,13-Jul,21:57,0,1,2,0,46,2013,0,0,1,0,6,2,0,1
6,61421,1,1,08-Jul,14:15,0,1,2,0,881,2004,2,1,1,0,6,2,0,0
6,61422,1,2,08-Aug,02:15,0,0,2,0,881,2013,2,1,1,0,2,5,0,0
6,61428,1,2,13-Aug,13:57,0,0,2,0,32,1988,0,0,1,0,6,2,0,0
6,61449,1,2,17-Aug,15:32,0,0,2,0,471,1994,0,0,1,0,6,2,0,0
6,61483,1,2,04-Aug,19:35,0,0,3,0,47,2014,0,0,1,0,2,5,0,0
6,61493,1,2,25-Aug,00:15,0,0,3,0,481,1989,0,0,1,0,6,5,0,0
6,61493,1,3,25-Aug,00:15,0,0,3,0,401,2003,0,0,1,0,6,5,0,0
6,61493,1,4,25-Aug,00:15,0,0,3,0,43,2000,0,0,1,0,4,5,0,0
6,61506,1,2,15-Jun,20:52,0,0,3,0,34,2011,0,0,1,0,6,2,0,0
6,61512,1,2,30-Aug,23:35,0,0,2,0,46,2005,0,0,1,0,2,5,0,0
6,61528,1,2,10-Sep,02:00,0,0,2,0,402,2001,0,0,1,0,2,5,0,0
6,61528,1,3,10-Sep,02:00,0,0,2,0,32,2008,0,0,1,0,6,2,0,0
6,61528,1,4,10-Sep,02:00,0,0,2,0,4,1993,0,0,1,0,6,2,0,0
6,61595,1,2,31-Aug,07:23,0,0,2,0,52,2006,0,0,1,0,6,2,0,0
6,61616,1,2,26-Sep,02:20,0,0,2,0,46,2010,0,0,1,0,6,2,0,0
6,61616,1,3,26-Sep,02:20,0,0,2,0,22,2007,0,0,1,0,4,3,0,0
6,61627,2,3,03-Oct,09:25,1,0,2,0,23,2009,0,0,1,0,2,5,0,0
6,61673,1,2,25-Oct,22:14,0,0,3,0,5,2004,0,0,1,0,4,5,0,0
6,61673,1,3,25-Oct,22:14,0,0,3,0,33,2012,0,0,1,0,2,5,0,0
6,61690,2,3,18-Sep,11:06,6,0,3,0,48,2004,0,0,1,0,2,5,0,0
6,61692,1,2,02-Oct,18:06,0,0,2,0,881,2005,3,6,1,0,4,3,0,0
6,61702,1,2,26-Sep,13:40,0,0,3,0,442,1998,0,0,1,0,0,5,0,0
6,61705,1,2,15-Nov,08:43,0,0,3,0,31,2005,0,0,1,0,6,5,0,0
6,61720,1,2,12-Nov,01:33,0,0,3,0,47,2002,0,0,1,0,6,2,0,0
6,61732,1,2,03-Nov,23:13,0,0,2,0,401,1993,0,0,1,0,6,2,0,0
6,61763,4,5,17-Oct,02:30,6,2,2,0,32,2013,0,0,1,0,6,8,0,0
6,61763,4,6,17-Oct,02:30,6,0,2,0,40,2012,0,0,1,0,8,8,0,0
6,61891,2,3,09-Jul,21:44,6,0,2,0,43,2005,0,0,1,0,6,5,0,0
6,61891,2,4,09-Jul,21:44,6,0,2,0,18,2014,0,0,1,0,4,5,0,0
6,61898,1,2,16-Oct,15:07,0,0,2,0,31,2014,0,0,1,0,4,5,0,0
6,61898,1,3,16-Oct,15:07,0,0,2,0,421,1999,0,0,1,0,4,5,0,0
6,61898,1,4,16-Oct,15:07,0,0,2,0,31,1998,0,0,1,0,2,5,0,0
6,61900,2,3,11-Apr,21:28,6,0,2,0,472,2014,0,0,1,0,4,5,0,0
